timestamp,camera,cls_name,confidence,zones,source
2025-11-27T11:28:47.681636,TeraWatchCam,zebra,0.31,,yolo
2025-11-27T11:28:47.681636,TeraWatchCam,zebra,0.30,,yolo
2025-11-27T11:28:47.681636,TeraWatchCam,zebra,0.27,,yolo
2025-11-27T11:28:47.681636,TeraWatchCam,zebra,0.26,,yolo
2025-11-27T11:28:47.681636,TeraWatchCam,zebra,0.25,,yolo
2025-11-27T11:28:47.897727,TeraWatchCam,zebra,0.90,,yolo
2025-11-27T11:28:47.897727,TeraWatchCam,zebra,0.84,,yolo
2025-11-27T11:28:47.897727,TeraWatchCam,zebra,0.67,,yolo
2025-11-27T11:28:47.897727,TeraWatchCam,zebra,0.54,,yolo
2025-11-27T11:28:47.897727,TeraWatchCam,zebra,0.45,,yolo
2025-11-27T11:28:47.897727,TeraWatchCam,zebra,0.39,,yolo
2025-11-27T11:28:47.897727,TeraWatchCam,zebra,0.38,,yolo
2025-11-27T11:28:47.897727,TeraWatchCam,zebra,0.37,,yolo
2025-11-27T11:28:47.897727,TeraWatchCam,zebra,0.34,,yolo
2025-11-27T11:28:47.897727,TeraWatchCam,zebra,0.33,,yolo
2025-11-27T11:28:47.897727,TeraWatchCam,cow,0.27,,yolo
2025-11-27T11:28:47.897727,TeraWatchCam,zebra,0.27,,yolo
2025-11-27T11:28:48.102613,TeraWatchCam,zebra,0.90,,yolo
2025-11-27T11:28:48.102613,TeraWatchCam,zebra,0.84,,yolo
2025-11-27T11:28:48.102613,TeraWatchCam,zebra,0.72,,yolo
2025-11-27T11:28:48.102613,TeraWatchCam,zebra,0.51,,yolo
2025-11-27T11:28:48.102613,TeraWatchCam,zebra,0.46,,yolo
2025-11-27T11:28:48.102613,TeraWatchCam,zebra,0.46,,yolo
2025-11-27T11:28:48.102613,TeraWatchCam,zebra,0.41,,yolo
2025-11-27T11:28:48.102613,TeraWatchCam,zebra,0.35,,yolo
2025-11-27T11:28:48.102613,TeraWatchCam,zebra,0.34,,yolo
2025-11-27T11:28:48.102613,TeraWatchCam,zebra,0.33,,yolo
2025-11-27T11:28:48.102613,TeraWatchCam,zebra,0.30,,yolo
2025-11-27T11:28:48.102613,TeraWatchCam,zebra,0.28,,yolo
2025-11-27T11:28:48.102613,TeraWatchCam,cow,0.26,,yolo
2025-11-27T11:28:48.102613,TeraWatchCam,zebra,0.26,,yolo
2025-11-27T11:28:48.307906,TeraWatchCam,zebra,0.91,,yolo
2025-11-27T11:28:48.307906,TeraWatchCam,zebra,0.82,,yolo
2025-11-27T11:28:48.307906,TeraWatchCam,zebra,0.73,,yolo
2025-11-27T11:28:48.307906,TeraWatchCam,zebra,0.59,,yolo
2025-11-27T11:28:48.307906,TeraWatchCam,zebra,0.51,,yolo
2025-11-27T11:28:48.307906,TeraWatchCam,zebra,0.44,,yolo
2025-11-27T11:28:48.307906,TeraWatchCam,zebra,0.42,,yolo
2025-11-27T11:28:48.307906,TeraWatchCam,zebra,0.40,,yolo
2025-11-27T11:28:48.307906,TeraWatchCam,zebra,0.35,,yolo
2025-11-27T11:28:48.307906,TeraWatchCam,zebra,0.30,,yolo
2025-11-27T11:28:48.307906,TeraWatchCam,zebra,0.28,,yolo
2025-11-27T11:28:48.524984,TeraWatchCam,zebra,0.86,,yolo
2025-11-27T11:28:48.524984,TeraWatchCam,zebra,0.83,,yolo
2025-11-27T11:28:48.524984,TeraWatchCam,zebra,0.77,,yolo
2025-11-27T11:28:48.524984,TeraWatchCam,zebra,0.62,,yolo
2025-11-27T11:28:48.524984,TeraWatchCam,zebra,0.47,,yolo
2025-11-27T11:28:48.524984,TeraWatchCam,zebra,0.47,,yolo
2025-11-27T11:28:48.524984,TeraWatchCam,zebra,0.40,,yolo
2025-11-27T11:28:48.524984,TeraWatchCam,zebra,0.37,,yolo
2025-11-27T11:28:48.524984,TeraWatchCam,zebra,0.35,,yolo
2025-11-27T11:28:48.524984,TeraWatchCam,zebra,0.33,,yolo
2025-11-27T11:28:48.524984,TeraWatchCam,zebra,0.32,,yolo
2025-11-27T11:28:48.524984,TeraWatchCam,zebra,0.29,,yolo
